 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
1171.28	17.0716
1162.02	22.6626
1147.44	31.5082
1126.62	40.3814
1106.71	50.005
1096.13	55.2851
1082.58	62.6568
1065.09	70.4047
1047.39	78.9964
1030.33	87.4113
1010.7	97.8206
1006.52	99.9016
985.398	111.887
972.601	118.139
952.706	129.54
946.301	133.261
924.676	144.27
905.479	153.874
883.65	164.241
875.571	168.108
857.693	176.802
851.803	179.214
832.568	188.697
810.714	198.865
791.694	201.065
784.691	201.463
760.143	199.695
745.543	198.93
721.185	194.692
712.078	194.805
690.315	192.427
679.631	191.325
663.231	188.535
643.007	186.093
625.895	184.519
607.552	184.653
598.842	184.436
576.296	183.534
552.472	184.218
549.795	184.835
525	184.728
503.099	185.773
491.283	185.698
470.042	186.02
445.081	187.32
423.567	187.447
400.647	186.911
395.318	204.949
395.461	225.701
395.736	247.018
395.65	268.647
396.017	283.88
395.882	294.741
394.899	314.739
394.927	319.958
397.837	342.713
399.49	361.037
400.596	376.813
400.87	390.483
400.76	410.694
400.944	428.401
401.799	442.208
401.509	459.096
401.921	483.555
401.904	497.7
402.29	510.526
401.923	530.024
401.593	541.879
401.687	566.144
401.851	576.597
401.588	598.098
392.179	612.649
379.409	624.683
363.778	638.418
350.758	651.04
342.613	658.368
328.703	670.545
311.59	686.164
294.698	700.97
284.154	709.261
267.247	722.626
249.139	737.575
238.045	748.372
224.41	760.502
207.116	774.409
191.562	786.164
177.172	803.363
170.404	811.106
155.36	827.693
143.085	842.998
129.297	859.008
112.418	876.957
103.37	886.792
91.582	900.008
85.8619	905.73
71.8394	922.655
61.802	933.608
45.4949	951.823
41.7381	956.64
26.8776	972.741
20	980
