First viable solution . This file contains vector of points of the generated path.
X	Y
1184.71	28.0539
1166.86	36.693
1144.85	46.1529
1125.94	51.916
1111.94	57.7018
1093.03	68.0586
1083.16	79.2761
1068.66	89.5171
1054.06	103.054
1036.62	111.659
1028.77	118.259
1019.96	139.498
1013.79	146.731
1004.35	166.331
993.525	179.82
979.491	197.14
977.004	211.252
971.746	226.512
971.011	238.461
970.051	261.083
969.405	282.496
963.504	299.66
962.055	317.655
967.522	333.248
966.642	352.848
963.499	372.267
965.55	382.054
971.701	397.572
986.405	412.481
995.882	430.219
999.076	443.198
1005.23	462.991
1005.85	481.433
1002.68	493.807
1002.63	513.358
997.594	534.153
994.888	553.717
1003.88	570.483
1002.12	594.584
1001.6	601.445
980.262	602.632
956.383	605.995
936.315	610.753
912.773	615.573
893.494	611.437
874.37	621.75
851.87	629.681
834.843	629.458
818.692	626.266
810.036	625.996
790.371	627.192
769.807	624.603
746.517	620.909
724.304	619.518
706.12	620.193
687.224	620.188
676.64	617.44
658.861	611.218
652.369	609.535
629.256	603.727
614.882	600.455
596.555	596.223
576.986	600.353
555.657	607.275
537.641	614.531
518.751	620.623
497.898	628.777
474.871	637.499
461.359	643.337
438.302	647.682
415.11	651.736
397.071	659.281
388.079	662.729
367.156	670.632
346.662	681.836
337.008	686.562
317.076	696.705
309.125	702.77
292.706	713.286
279.551	724.584
262.681	737.196
247.718	756.694
233.002	765.289
212.762	777.7
191.322	785.197
178.308	802.391
166.763	809.705
148.899	824.458
130.263	838.721
119.237	858.793
107.306	868.058
96.1823	879.078
79.1805	896.541
70.9286	904.05
59.8986	922.044
50.7846	938.153
38.8654	956.733
26.3624	972.285
20	980
